Sample,Time,Decoder,Ann Row,Ann Class,Value,
349030,3.490 ms,SPI,MOSI data,MOSI data,00,
349286,3.493 ms,SPI,MOSI data,MOSI data,1F,
349542,3.495 ms,SPI,MOSI data,MOSI data,00,
349798,3.498 ms,SPI,MOSI data,MOSI data,1F,
350054,3.501 ms,SPI,MOSI data,MOSI data,00,
350310,3.503 ms,SPI,MOSI data,MOSI data,1F,
350566,3.506 ms,SPI,MOSI data,MOSI data,00,
350822,3.508 ms,SPI,MOSI data,MOSI data,1F,
351078,3.511 ms,SPI,MOSI data,MOSI data,00,
351334,3.513 ms,SPI,MOSI data,MOSI data,1F,
351590,3.516 ms,SPI,MOSI data,MOSI data,00,
351846,3.518 ms,SPI,MOSI data,MOSI data,1F,
352102,3.521 ms,SPI,MOSI data,MOSI data,00,
352358,3.524 ms,SPI,MOSI data,MOSI data,1F,
352614,3.526 ms,SPI,MOSI data,MOSI data,00,
352870,3.529 ms,SPI,MOSI data,MOSI data,1F,
353126,3.531 ms,SPI,MOSI data,MOSI data,00,
353382,3.534 ms,SPI,MOSI data,MOSI data,1F,
353638,3.536 ms,SPI,MOSI data,MOSI data,00,
353894,3.539 ms,SPI,MOSI data,MOSI data,1F,
354150,3.541 ms,SPI,MOSI data,MOSI data,00,
354406,3.544 ms,SPI,MOSI data,MOSI data,1F,
354662,3.547 ms,SPI,MOSI data,MOSI data,00,
354918,3.549 ms,SPI,MOSI data,MOSI data,1F,
355174,3.552 ms,SPI,MOSI data,MOSI data,00,
355430,3.554 ms,SPI,MOSI data,MOSI data,1F,
355686,3.557 ms,SPI,MOSI data,MOSI data,00,
355942,3.559 ms,SPI,MOSI data,MOSI data,1F,
356198,3.562 ms,SPI,MOSI data,MOSI data,00,
356454,3.565 ms,SPI,MOSI data,MOSI data,1F,
356710,3.567 ms,SPI,MOSI data,MOSI data,00,
356966,3.570 ms,SPI,MOSI data,MOSI data,1F,
357222,3.572 ms,SPI,MOSI data,MOSI data,00,
357478,3.575 ms,SPI,MOSI data,MOSI data,1F,
357734,3.577 ms,SPI,MOSI data,MOSI data,00,
357990,3.580 ms,SPI,MOSI data,MOSI data,1F,
358246,3.582 ms,SPI,MOSI data,MOSI data,00,
358502,3.585 ms,SPI,MOSI data,MOSI data,1F,
358758,3.588 ms,SPI,MOSI data,MOSI data,00,
359014,3.590 ms,SPI,MOSI data,MOSI data,1F,
359270,3.593 ms,SPI,MOSI data,MOSI data,00,
359526,3.595 ms,SPI,MOSI data,MOSI data,1F,
359782,3.598 ms,SPI,MOSI data,MOSI data,00,
360038,3.600 ms,SPI,MOSI data,MOSI data,1F,
360294,3.603 ms,SPI,MOSI data,MOSI data,00,
360550,3.606 ms,SPI,MOSI data,MOSI data,1F,
360806,3.608 ms,SPI,MOSI data,MOSI data,00,
361062,3.611 ms,SPI,MOSI data,MOSI data,1F,
361318,3.613 ms,SPI,MOSI data,MOSI data,00,
361574,3.616 ms,SPI,MOSI data,MOSI data,1F,
362065,3.621 ms,SPI,MOSI data,MOSI data,2A,
362481,3.625 ms,SPI,MOSI data,MOSI data,00,
362865,3.629 ms,SPI,MOSI data,MOSI data,AA,
363281,3.633 ms,SPI,MOSI data,MOSI data,00,
363665,3.637 ms,SPI,MOSI data,MOSI data,B1,
364081,3.641 ms,SPI,MOSI data,MOSI data,2B,
364497,3.645 ms,SPI,MOSI data,MOSI data,00,
364881,3.649 ms,SPI,MOSI data,MOSI data,AA,
365297,3.653 ms,SPI,MOSI data,MOSI data,00,
365681,3.657 ms,SPI,MOSI data,MOSI data,B1,
366097,3.661 ms,SPI,MOSI data,MOSI data,2C,
366617,3.666 ms,SPI,MOSI data,MOSI data,07,
366873,3.669 ms,SPI,MOSI data,MOSI data,E0,
367129,3.671 ms,SPI,MOSI data,MOSI data,07,
367385,3.674 ms,SPI,MOSI data,MOSI data,E0,
367641,3.676 ms,SPI,MOSI data,MOSI data,07,
367897,3.679 ms,SPI,MOSI data,MOSI data,E0,
368153,3.682 ms,SPI,MOSI data,MOSI data,07,
368409,3.684 ms,SPI,MOSI data,MOSI data,E0,
368665,3.687 ms,SPI,MOSI data,MOSI data,07,
368921,3.689 ms,SPI,MOSI data,MOSI data,E0,
369177,3.692 ms,SPI,MOSI data,MOSI data,07,
369433,3.694 ms,SPI,MOSI data,MOSI data,E0,
369689,3.697 ms,SPI,MOSI data,MOSI data,07,
369945,3.699 ms,SPI,MOSI data,MOSI data,E0,
370201,3.702 ms,SPI,MOSI data,MOSI data,07,
370457,3.705 ms,SPI,MOSI data,MOSI data,E0,
370713,3.707 ms,SPI,MOSI data,MOSI data,07,
370969,3.710 ms,SPI,MOSI data,MOSI data,E0,
